                    MONTHLY CLIMATOLOGICAL SUMMARY for DEC. 2013                    
                                                                                    
NAME: Nea            ELEV: 90   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  14.3  17.6   13:30 10.9   00:10     95   86   5.8    0.9   25.7   18:40   NNW
 02  14.6  15.6   14:20 13.8   21:40     97   86   8.2    4.4   22.5   15:30   NNE
 03   9.9  14.2   00:00  6.5   23:50     88   70   1.6   17.3   59.5   14:40     N
 04   7.6   8.8   17:30  6.3   00:20     91   66   2.8   12.0   46.7   08:20     N
 05   9.2  14.2   14:30  5.9   06:10     79   45   0.0    5.4   37.0   02:00     N
 06  10.0  16.5   13:50  4.1   06:00     75   39   0.0    2.1   25.7   21:50     N
 07  11.1  14.4   09:50  8.6   23:40     85   48   0.0    5.8   35.4   22:10     N
 08   8.0  11.5   13:40  5.2   07:40     64   42   0.0    3.8   32.2   08:00     N
 09  10.2  15.1   13:20  5.1   07:50     81   32   0.0    2.3   24.1   17:50     N
 10  10.1  15.1   10:20  6.3   05:00     90   45   2.6    7.5   53.1   23:10     N
 11   5.8   7.4   00:00  4.8   08:00     64   48   0.0   14.2   51.5   01:30    NE
 12   6.9  10.7   13:30  2.6   06:50     77   44   0.0    5.3   30.6   21:30   NNE
 13   7.5   8.6   10:30  6.1   23:10     93   71   1.0    2.2   25.7   00:40     N
 14   8.3  13.5   13:50  4.4   07:30     93   59   0.2    1.1    9.7   12:10     N
 15   9.9  14.3   15:20  6.1   02:40     96   82   0.0    0.7   12.9   11:20   SSW
 16  11.1  13.8   12:50  9.7   17:10     92   67   0.4    6.3   40.2   22:40   NNE
 17   9.6  11.6   12:20  8.3   08:10     82   63   0.0   13.1   46.7   03:00   NNE
 18   8.2   9.9   11:30  6.8   07:50     90   72   3.6    8.3   35.4   02:50     N
 19   9.1  12.2   13:50  7.2   23:20     84   64   0.0    5.3   30.6   01:40     N
 20   8.4  12.7   13:40  5.9   23:50     90   63   0.0    2.2   16.1   10:20   NNE
 21   8.2  13.6   13:50  4.2   07:20     94   69   0.2    1.3   12.9   13:30   ENE
 22  10.4  15.2   12:30  4.9   00:30     81   50   0.0    6.1   27.4   12:40   NNE
 23  10.0  13.2   14:30  8.3   22:00     86   68   0.0    3.9   20.9   11:30    NE
 24  10.4  11.8   15:00  9.0   02:30     85   79   0.0    1.4   20.9   12:20    NE
 25  12.4  15.5   13:20 10.9   02:40     92   77   2.4    1.9   16.1   09:30   ENE
 26  13.2  15.4   14:50  9.9   07:20     95   83   0.0    1.5   19.3   23:10   ENE
 27  13.2  15.3   07:10 11.1   23:30     96   82  29.6    2.5   30.6   09:30   SSW
 28  12.1  14.2   14:30 10.9   02:20     97   74   4.2    4.3   27.4   10:50   NNE
 29  12.5  15.4   14:30  8.5   23:50     82   60   0.2    6.2   32.2   02:50    NE
 30  11.1  16.1   14:10  6.8   03:50     87   56   0.0    4.3   25.7   22:40    NE
 31   9.6  10.5   11:40  8.8   23:40     84   73   0.0    8.5   35.4   09:50   NNE
------------------------------------------------------------------------------------
     10.1  17.6     1    2.6    12     86.6 63.3  62.8    5.2   59.5       3     N
