                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2014                    
                                                                                    
NAME: Nea            ELEV: 90   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01   9.0   9.7   19:20  8.4   12:40     93   76   6.2    4.8   22.5   23:20   NNE
 02  10.5  13.3   12:10  8.9   22:00     92   72   0.4    4.5   20.9   01:30   NNE
 03   9.7  13.8   12:20  6.9   03:50     90   71   0.0    1.3   16.1   12:50   ENE
 04   9.6  13.8   13:40  6.4   04:40     94   66   0.2    1.8   19.3   13:20   NNE
 05  10.1  15.1   12:30  6.1   04:10     96   73   0.2    1.3   17.7   13:00   NNE
 06  13.0  15.1   13:40 11.1   22:30     94   84   1.4    1.3   17.7   12:10   WSW
 07  13.1  15.8   13:10 11.4   00:50     92   75   0.0    3.7   22.5   12:40   NNE
 08  12.8  15.7   13:50 10.7   07:10     87   65   0.0    7.9   32.2   11:20   NNE
 09  12.8  17.4   14:10  8.3   23:30     94   52   0.0    4.9   29.0   01:10    NE
 10  11.2  17.9   13:50  6.9   07:10     97   60   0.4    1.4   29.0   16:00    SE
 11  11.6  14.8   12:00  9.1   05:10     94   76   0.2    1.4   17.7   13:40   WNW
 12  11.0  14.0   15:00  8.8   04:00    100   90   0.0    0.3    9.7   14:00   SSE
 13  11.5  13.9   11:20  9.7   05:30     96   79   0.2    0.9   16.1   11:10   NNE
 14  12.5  15.4   13:10 10.9   23:50     93   77   0.0    1.0   12.9   10:50   NNE
 15  13.7  16.6   14:00  9.9   00:50     96   75   0.2    1.8   25.7   13:30   SSW
 16  13.0  17.4   13:10  9.8   23:50     95   68   4.0    1.5   17.7   01:00   ENE
 17  12.3  18.2   14:40  8.9   06:50     97   62   0.4    1.4   19.3   13:30   ENE
 18  13.1  16.7   12:20  8.5   05:00     95   65   0.2    2.5   29.0   11:30   WNW
 19  14.9  17.8   11:10 11.5   06:50     89   66   0.0    3.3   40.2   12:30   WNW
 20  15.4  19.2   14:40 11.8   07:00     94   69   0.0    2.9   30.6   12:10   WNW
 21  15.8  19.9   13:20 12.8   05:20     93   40   0.0    3.9   30.6   11:30   WNW
 22  12.9  17.2   13:50  9.0   07:50     85   49   0.0    3.3   29.0   15:30   WNW
 23  11.6  16.2   14:20  8.2   03:20     91   59   0.0    2.0   27.4   23:30   ENE
 24  12.2  15.2   13:30  8.3   07:40     89   56   0.8    2.2   25.7   00:00     E
 25  14.0  17.8   13:40 11.1   23:40     93   52  19.2    4.5   37.0   00:50   WNW
 26   9.8  12.2   14:20  8.4   07:10    100   73  24.2    4.9   33.8   11:10     N
 27   7.7  10.2   13:10  5.0   21:00     90   67   0.0    4.9   29.0   01:50   NNE
 28   9.0  10.4   10:50  6.2   00:10     96   87  11.2    0.2   11.3   23:20   NNE
 29  11.5  15.7   13:40  7.5   07:40     96   48   6.2    3.6   43.5   04:50    NW
 30  10.0  15.2   13:10  5.1   07:10     88   54   0.0    1.1   14.5   13:10    NW
 31  10.3  12.5   12:10  7.9   22:50     86   67   0.0    7.0   30.6   14:00   NNE
------------------------------------------------------------------------------------
     11.8  19.9    21    5.0    27     93.1 66.9  75.6    2.8   43.5      29   NNE
