                    MONTHLY CLIMATOLOGICAL SUMMARY for MAR. 2014                    
                                                                                    
NAME: Nea            ELEV: 90   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  12.1  13.3   11:20 11.2   23:40     96   91  16.6    1.4   22.5   13:00     W
 02  13.1  17.8   14:20 10.2   21:30     97   46   0.6    3.3   33.8   11:50     W
 03  11.9  13.3   04:30  9.7   21:30     95   77  13.2    3.0   32.2   08:40   WNW
 04  13.4  18.2   13:40  9.7   00:00     95   47   4.4    6.1   35.4   07:20   WNW
 05  11.5  16.9   13:10  7.6   06:30     94   53   0.0    2.0   25.7   00:10   NNE
 06  11.4  16.1   15:30  7.3   03:20     95   66   3.8    1.7   27.4   15:00   NNE
 07  11.5  14.6   14:40  9.0   05:10     96   73   7.0    0.9   17.7   18:10   WNW
 08  11.1  14.0   14:50  9.7   06:30     94   69   4.0    8.1   33.8   13:50    NE
 09   9.0   9.9   00:00  8.4   23:40     93   65   1.6   12.6   46.7   19:40    NE
 10   7.8   9.3   12:50  6.6   20:00     94   72   9.4    8.5   37.0   02:30   NNE
 11   8.5  11.9   13:30  6.4   04:30     93   64   0.4    6.2   38.6   13:50   NNE
 12  11.4  15.6   15:30  6.9   00:00     86   39   0.2    7.3   35.4   11:40     N
 13  11.8  15.3   13:00  9.1   06:10     76   42   0.0    6.1   38.6   15:00   NNE
 14  11.2  15.4   14:20  7.0   22:50     77   52   0.0    3.7   25.7   14:30   ENE
 15  11.9  17.6   14:20  5.2   06:00     82   35   0.0    3.9   27.4   14:00   ENE
 16  13.7  17.7   15:00  9.1   05:40     93   61   0.0    2.9   17.7   11:50     W
 17  13.9  21.7   13:30  7.6   06:40     93   37   0.0    1.9   27.4   12:30     S
 18  14.9  22.7   14:10  8.7   06:40     86   33   0.0    1.9   14.5   14:30     S
 19  15.0  24.1   16:40  9.0   06:40     88   39   0.0    2.4   20.9   13:10    SE
 20  15.5  18.7   12:40 11.3   02:00     90   31   0.0    7.9   38.6   10:20     N
 21  15.4  18.7   12:20 12.9   01:10     57   43   0.0    7.8   35.4   15:30   NNE
 22  14.8  20.1   15:20  8.3   06:50     80   40   0.2    0.5   17.7   00:40   NNE
 23  13.7  19.2   13:10  8.5   06:40     91   50   0.0    ---    ---     ---   ---
 24  14.3  19.7   15:40  9.6   03:50     94   50   0.0    ---    ---     ---   ---
 25  14.6  19.2   14:10 10.7   04:00     91   35   0.0    ---    ---     ---   ---
 26  15.2  19.5   14:50 10.9   07:00     85   48   0.0    ---    ---     ---   ---
 27  15.9  19.1   14:00 11.7   06:30     92   65   0.0    ---    ---     ---   ---
 28  17.3  22.2   14:40 11.4   23:50     88   33   0.0    ---    ---     ---   ---
 29  14.1  17.8   10:40 10.1   04:00     85   57   0.2    ---    ---     ---   ---
 30  12.2  14.5   14:20 10.1   08:10     73   51   0.0    ---    ---     ---   ---
 31  11.8  16.2   16:40  7.9   07:30     87   57   0.0    ---    ---     ---   ---
------------------------------------------------------------------------------------
     12.9  24.1    19    5.2    15     88.3 52.3  61.6    3.2   46.7       9   NNE
