                    MONTHLY CLIMATOLOGICAL SUMMARY for OCT. 2018                    
                                                                                    
NAME: Nea            ELEV: 25   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  19.2  23.4   17:20 16.9   08:50     89   70   4.2    7.2   51.5   03:40    NW
 02  20.0  26.8   14:10 14.3   07:00     91   44   0.0    3.2   33.8   15:20   SSE
 03  20.2  24.3   14:50 16.7   04:10     94   78   0.2    1.3   20.9   15:00    SE
 04  20.9  25.6   14:30 17.6   05:40     90   70   0.0    3.8   27.4   15:20    NE
 05  20.3  23.2   13:50 18.1   21:20     83   37   0.0   10.9   41.8   14:40     N
 06  19.2  23.3   15:30 16.3   23:40     73   50   0.0   11.0   40.2   11:20     N
 07  19.1  23.4   15:40 15.5   04:50     85   56   0.0    6.4   29.0   08:50     N
 08  18.9  24.0   13:50 14.4   04:20     89   58   0.0    3.0   24.1   16:10   ENE
 09  19.8  23.2   13:40 17.6   00:00     74   53   0.0   11.2   43.5   11:30     N
 10  19.8  22.4   15:00 17.7   04:20     70   47   0.0   13.6   49.9   16:20     N
 11  19.9  23.0   14:00 16.7   08:00     72   46   0.0   12.6   48.3   13:40     N
 12  18.6  20.6   11:10 17.9   04:30     80   64   0.0   12.7   48.3   18:40     N
 13  19.2  20.1   12:10 18.7   07:30     79   72   0.0   14.5   46.7   10:20     N
 14  18.9  21.1   13:40 17.7   07:20     80   67   0.0   11.0   35.4   13:20     N
 15  17.9  19.0   13:40 16.7   02:10     87   72   0.4    8.7   29.0   03:00     N
 16  19.5  22.7   13:00 16.9   23:50     79   53   0.0    8.3   32.2   05:10     N
 17  19.8  22.9   13:00 16.7   07:50     78   56   0.0    9.9   33.8   10:00     N
 18  19.2  22.4   14:20 16.8   07:00     86   67   0.0    5.4   25.7   09:10     N
 19  18.8  23.1   13:10 15.4   04:30     90   63   0.0    3.4   22.5   11:30   NNE
 20  19.1  23.6   13:00 15.7   07:20     91   65   0.0    2.8   19.3   09:50     N
 21  18.9  22.2   13:30 17.2   07:30     85   59   0.0    5.4   22.5   16:30     N
 22  18.4  20.9   13:40 17.0   21:20     84   65   0.2    7.9   29.0   11:30     N
 23  18.0  19.1   14:40 16.6   20:20     89   79   1.4    6.9   20.9   02:40     N
 24  18.0  21.3   13:30 15.3   07:40     87   66   0.2    4.2   30.6   08:30     N
 25  15.0  17.3   04:00 10.0   23:50     87   37   0.0    9.9   59.5   07:00     N
 26  14.4  20.7   16:10  8.3   04:20     72   41   0.0    1.9   17.7   14:00     W
 27  17.6  24.1   12:50 12.1   08:00     88   63   0.0    4.0   33.8   15:50   WSW
 28  19.7  24.1   13:10 16.4   02:10     91   63   0.0    6.4   37.0   10:10     S
 29  19.4  23.6   14:30 15.1   07:10     91   59   0.0    5.9   30.6   12:10     S
 30  19.8  23.2   14:00 15.9   07:50     90   68   0.0    6.2   33.8   15:00     S
 31  19.6  24.1   11:40 17.1   01:10     93   73   0.0    0.7   19.3   16:20   ENE
------------------------------------------------------------------------------------
     18.9  26.8     2    8.3    26     84.4 60.0   6.6    7.1   59.5      25     N
