                    MONTHLY CLIMATOLOGICAL SUMMARY for APR. 2018                    
                                                                                    
NAME: Nea            ELEV: 25   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  18.5  23.2   16:10 14.4   04:30     80   30   0.0   17.5   53.1   10:50   SSW
 02  15.2  21.0   13:40 10.4   05:50     74   30   0.0    4.9   29.0   11:20     N
 03  14.8  20.8   14:30  8.8   07:10     83   39   0.0    2.0   19.3   12:10   WSW
 04  15.5  22.4   16:00  8.5   07:10     77   26   0.0    2.3   16.1   18:40   ESE
 05  16.0  22.4   15:50  9.9   07:40     82   40   0.0    3.2   22.5   16:50    SW
 06  16.1  20.6   12:50 11.9   05:30     84   60   0.0    2.9   24.1   16:00    NE
 07  16.4  17.7   17:30 13.3   15:20     87   44  11.6   11.9   43.5   17:20     N
 08  18.2  21.6   13:30 14.9   07:40     62   35   0.0   13.0   49.9   15:00     N
 09  17.1  21.4   13:20 12.3   23:10     73   36   0.0    7.4   35.4   04:00   NNE
 10  15.5  22.0   14:20  9.7   05:50     79   43   0.0    3.0   22.5   16:30   ESE
 11  15.5  20.2   17:00 12.0   07:10     88   68   0.0    2.3   16.1   17:00    SW
 12  16.8  23.1   14:50 11.2   05:30     86   46   0.0    1.5   12.9   14:30   ESE
 13  17.7  23.5   14:50 12.0   05:50     85   53   0.0    1.4   12.9   15:10   ESE
 14  18.4  24.1   13:00 13.0   07:20     87   52   0.0    2.3   17.7   12:40    SW
 15  19.0  22.8   11:40 15.7   22:20     85   47   0.0    6.2   27.4   11:50     N
 16  17.8  20.7   11:40 14.6   22:40     83   54   0.0    4.4   29.0   09:30   NNE
 17  17.0  22.6   14:40 12.4   07:00     83   43   0.0    3.2   22.5   17:40   ESE
 18  17.8  22.9   13:00 12.6   05:20     89   43   0.0    3.4   30.6   12:20   ENE
 19  20.6  23.6   15:10 17.9   00:00     51   38   0.0   12.9   48.3   09:20     N
 20  19.5  25.7   13:10 16.1   22:00     70   36   0.0    9.4   46.7   13:10     N
 21  17.4  20.6   14:30 14.3   05:00     71   33   0.0   13.6   49.9   13:30     N
 22  18.6  24.6   15:30 12.9   06:20     65   34   0.0    2.9   22.5   01:00   ESE
 23  18.0  24.4   14:50 11.5   06:20     74   36   0.0    3.0   20.9   17:20   WSW
 24  19.2  28.2   17:10 11.6   06:50     80   29   0.0    1.7   12.9   14:50   ESE
 25  20.5  28.5   15:10 13.6   06:30     80   34   0.0    1.6   12.9   13:00   WSW
 26  20.7  28.1   13:30 14.6   06:10     70   36   0.0    1.6   16.1   14:20    SW
 27  21.5  28.2   13:10 14.9   05:20     75   37   0.0    1.5   14.5   14:20    SW
 28  23.4  27.3   11:50 19.8   02:00     55   40   0.0    6.4   29.0   11:40     N
 29  20.7  24.9   12:00 18.6   22:10     76   50   0.0    4.8   27.4   10:20   NNE
 30  21.4  24.7   14:30 17.4   03:50     77   49   0.0    7.2   33.8   12:30     N
------------------------------------------------------------------------------------
     18.2  28.5    25    8.5     4     77.0 41.4  11.6    5.3   53.1       1     N
